TIME,CH2,CH2 Peak Detect
-1.00E+01,0.02,0.06
-1.00E+01,0.04,-0.02
-1.00E+01,0.02,0.06
-1.00E+01,0.02,-0.02
-1.00E+01,0.02,0.08
-1.00E+01,-8.94E-10,-0.02
-1.00E+01,0.02,0.06
-1.00E+01,0.02,-0.04
-1.00E+01,0.02,0.08
-1.00E+01,-8.94E-10,-0.02
-1.00E+01,0.02,0.08
-1.00E+01,0.02,-0.02
-1.00E+01,0.02,0.06
-1.00E+01,-8.94E-10,-0.02
-1.00E+01,0.02,0.06
-1.00E+01,0.02,-0.02
-1.00E+01,0.02,0.08
-1.00E+01,0.02,-0.02
-1.00E+01,-8.94E-10,0.06
-1.00E+01,-8.94E-10,-0.02
-1.00E+01,0.04,0.06
-1.00E+01,-8.94E-10,-0.02
-1.00E+01,0.02,0.08
-1.00E+01,0.02,-0.02
-1.00E+01,-8.94E-10,0.06
-1.00E+01,0.02,-0.04
-1.00E+01,-8.94E-10,0.06
-1.00E+01,0.02,-0.02
-1.00E+01,0.02,0.08
-1.00E+01,0.02,-0.04
-1.00E+01,-8.94E-10,0.08
-1.00E+01,0.02,-0.04
-9.99E+00,0.02,0.08
-9.99E+00,0.02,-0.02
-9.99E+00,-8.94E-10,0.06
-9.99E+00,0.04,-0.02
-9.99E+00,0.02,0.06
-9.99E+00,0.02,-0.02
-9.99E+00,0.02,0.06
-9.99E+00,-8.94E-10,-0.04
-9.99E+00,0.02,0.06
-9.99E+00,-8.94E-10,-0.02
-9.99E+00,0.02,0.06
-9.99E+00,-8.94E-10,-0.02
-9.99E+00,0.04,0.06
-9.99E+00,0.02,-0.02
-9.99E+00,-8.94E-10,0.06
-9.99E+00,0.02,-0.02
-9.99E+00,0.02,0.08
-9.99E+00,0.02,-0.02
-9.99E+00,0.04,0.06
-9.99E+00,-8.94E-10,-0.02
-9.99E+00,0.02,0.06
-9.99E+00,0.02,-0.02
-9.99E+00,-8.94E-10,0.08
-9.99E+00,-8.94E-10,-0.02
-9.99E+00,0.02,0.06
-9.99E+00,-8.94E-10,-0.02
-9.99E+00,0.02,0.08
-9.99E+00,-8.94E-10,-0.02
-9.99E+00,-8.94E-10,0.08
-9.99E+00,0.02,-0.04
-9.99E+00,0.02,0.08
-9.99E+00,0.02,-0.02
-9.99E+00,-8.94E-10,0.08
-9.99E+00,0.02,-0.04
-9.99E+00,0.02,0.08
-9.99E+00,0.02,-0.02
-9.99E+00,-8.94E-10,0.08
-9.99E+00,0.02,-0.02
-9.99E+00,0.02,0.06
-9.99E+00,0.02,-0.02
-9.99E+00,-8.94E-10,0.06
-9.99E+00,0.02,-0.02
-9.99E+00,0.02,0.08
-9.99E+00,-8.94E-10,-0.02
-9.99E+00,-8.94E-10,0.08
-9.99E+00,0.02,-0.02
-9.99E+00,0.02,0.06
-9.99E+00,0.02,-0.02
-9.99E+00,0.02,0.06
-9.99E+00,-8.94E-10,-0.02
-9.99E+00,0.02,0.06
-9.99E+00,-8.94E-10,-0.04
-9.99E+00,0.04,0.08
-9.99E+00,0.02,-0.04
-9.99E+00,0.02,0.08
-9.99E+00,-8.94E-10,-0.02
-9.99E+00,0.02,0.08
-9.99E+00,-8.94E-10,-0.02
-9.99E+00,-8.94E-10,0.08
-9.99E+00,0.02,-0.02
-9.99E+00,0.02,0.08
-9.99E+00,0.02,-0.02
-9.99E+00,0.02,0.06
-9.98E+00,-8.94E-10,-0.02
-9.98E+00,-8.94E-10,0.08
-9.98E+00,0.02,-0.02
-9.98E+00,-8.94E-10,0.08
-9.98E+00,0.02,-0.02
-9.98E+00,-8.94E-10,0.08
-9.98E+00,0.02,-0.04
-9.98E+00,0.02,0.08
-9.98E+00,0.02,-0.02
-9.98E+00,0.04,0.06
-9.98E+00,0.02,-0.04
-9.98E+00,-8.94E-10,0.08
-9.98E+00,0.02,-0.02
-9.98E+00,0.02,0.06
-9.98E+00,0.02,-0.02
-9.98E+00,-8.94E-10,0.08
-9.98E+00,0.02,-0.02
-9.98E+00,0.02,0.06
-9.98E+00,-8.94E-10,-0.02
-9.98E+00,0.02,0.06
-9.98E+00,0.02,-0.02
-9.98E+00,-8.94E-10,0.06
-9.98E+00,0.02,-0.02
-9.98E+00,-8.94E-10,0.08
-9.98E+00,0.02,-0.02
-9.98E+00,0.02,0.08
-9.98E+00,0.02,-0.02
-9.98E+00,0.02,0.06
-9.98E+00,-8.94E-10,-0.02
-9.98E+00,0.02,0.06
-9.98E+00,-8.94E-10,-0.02
-9.98E+00,0.02,0.06
-9.98E+00,-8.94E-10,-0.04
-9.98E+00,-8.94E-10,0.08
-9.98E+00,0.02,-0.02
-9.98E+00,0.02,0.08
-9.98E+00,0.02,-0.04
-9.98E+00,0.02,0.08
-9.98E+00,0.02,-0.02
-9.98E+00,0.02,0.06
-9.98E+00,0.02,-0.02
-9.98E+00,0.02,0.08
-9.98E+00,0.02,-0.04
-9.98E+00,0.02,0.08
-9.98E+00,0.02,-0.04
