TIME,CH1,CH2
2.08E+00,0.12,0.2
2.08E+00,0.04,0.2
2.08E+00,0.12,0.2
2.08E+00,0.04,0.2
2.08E+00,0.12,0.2
2.08E+00,0.04,0.2
2.08E+00,0.12,0.12
2.08E+00,0.12,0.12
2.08E+00,0.04,0.2
2.08E+00,0.12,0.2
2.08E+00,0.12,0.12
2.08E+00,0.04,0.2
2.08E+00,0.04,0.12
2.09E+00,0.12,0.12
2.09E+00,0.04,0.2
2.09E+00,0.04,0.2
2.09E+00,0.12,0.12
2.09E+00,0.04,0.2
2.09E+00,0.12,0.12
2.09E+00,0.12,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.2
2.09E+00,0.12,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.2
2.09E+00,0.12,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.2
2.09E+00,0.04,0.2
2.09E+00,0.04,0.2
2.09E+00,0.12,0.12
2.09E+00,0.12,0.2
2.09E+00,0.12,0.2
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.12,0.2
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.12,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.2
2.09E+00,0.12,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.2
2.09E+00,0.12,0.2
2.09E+00,0.12,0.12
2.09E+00,0.12,0.2
2.09E+00,0.12,0.12
2.09E+00,0.12,0.12
2.09E+00,0.04,0.2
2.09E+00,0.04,0.12
2.09E+00,0.12,0.12
2.09E+00,0.12,0.2
2.09E+00,0.12,0.12
2.09E+00,0.04,0.2
2.09E+00,0.12,0.2
2.09E+00,0.12,0.2
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.12,0.12
2.09E+00,0.12,0.12
2.09E+00,0.04,0.2
2.09E+00,0.12,0.2
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.12,0.2
2.09E+00,0.04,0.2
2.09E+00,0.12,0.2
2.09E+00,0.04,0.2
2.09E+00,0.12,0.2
2.09E+00,0.12,0.12
2.09E+00,0.12,0.12
2.09E+00,0.12,0.12
2.09E+00,0.12,0.12
2.09E+00,0.12,0.2
2.09E+00,0.12,0.2
2.09E+00,0.12,0.2
2.09E+00,0.12,0.2
2.09E+00,0.12,0.2
2.09E+00,0.04,0.12
2.09E+00,0.12,0.12
2.09E+00,0.12,0.2
2.09E+00,0.12,0.12
2.09E+00,0.12,0.2
2.09E+00,0.12,0.2
2.09E+00,0.12,0.2
2.09E+00,0.12,0.2
2.09E+00,0.04,0.2
2.09E+00,0.12,0.12
2.09E+00,0.12,0.2
2.09E+00,0.12,0.2
2.09E+00,0.04,0.2
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.2
2.09E+00,0.04,0.2
2.09E+00,0.04,0.2
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.2
2.09E+00,0.04,0.12
2.09E+00,0.04,0.2
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.2
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.09E+00,0.12,0.2
2.09E+00,0.04,0.12
2.09E+00,0.12,0.12
2.09E+00,0.04,0.12
2.09E+00,0.04,0.2
2.09E+00,0.04,0.2
2.09E+00,0.12,0.2
2.09E+00,0.04,0.2
2.09E+00,0.04,0.2
2.09E+00,0.12,0.12
2.09E+00,0.12,0.2
2.09E+00,0.04,0.2
2.09E+00,0.04,0.12
2.09E+00,0.12,0.2
2.09E+00,0.04,0.2
2.09E+00,0.12,0.12
2.09E+00,0.12,0.2
2.09E+00,0.04,0.2
2.09E+00,0.04,0.2
2.09E+00,0.04,0.2
2.09E+00,0.12,0.12
2.09E+00,0.04,0.2
2.09E+00,0.12,0.2
2.09E+00,0.04,0.12
2.09E+00,0.12,0.2
2.09E+00,0.04,0.12
2.09E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.12
2.10E+00,0.12,0.12
2.10E+00,0.12,0.12
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.04,0.2
2.10E+00,0.12,0.12
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.2
2.10E+00,0.12,0.2
2.10E+00,0.04,0.12
2.10E+00,0.12,0.12
2.10E+00,0.04,0.2
2.10E+00,0.12,0.2
2.10E+00,0.04,0.2
2.10E+00,0.12,0.2
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.12
2.10E+00,0.12,0.2
2.10E+00,0.04,0.2
2.10E+00,0.12,0.12
2.10E+00,0.04,0.2
2.10E+00,0.12,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.2
2.10E+00,0.12,0.12
2.10E+00,0.04,0.2
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.12
2.10E+00,0.12,0.2
2.10E+00,0.12,0.2
2.10E+00,0.12,0.2
2.10E+00,0.04,0.12
2.10E+00,0.12,0.12
2.10E+00,0.04,0.2
2.10E+00,0.12,0.2
2.10E+00,0.04,0.2
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.2
2.10E+00,0.12,0.2
2.10E+00,0.12,0.2
2.10E+00,0.04,0.12
2.10E+00,0.12,0.12
2.10E+00,0.12,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.12
2.10E+00,0.12,0.12
2.10E+00,0.04,0.2
2.10E+00,0.12,0.12
2.10E+00,0.04,0.2
2.10E+00,0.12,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.2
2.10E+00,0.04,0.12
2.10E+00,0.12,0.2
2.10E+00,0.12,0.2
2.10E+00,0.12,0.12
2.10E+00,0.12,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.2
2.10E+00,0.04,0.2
2.10E+00,0.04,0.2
2.10E+00,0.04,0.2
2.10E+00,0.12,0.12
2.10E+00,0.12,0.2
2.10E+00,0.12,0.2
2.10E+00,0.12,0.12
2.10E+00,0.12,0.12
2.10E+00,0.04,0.12
2.10E+00,0.04,0.2
2.10E+00,0.04,0.12
2.10E+00,0.04,0.2
2.10E+00,0.12,0.12
2.10E+00,0.12,0.2
2.10E+00,0.12,0.2
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.04,0.2
2.10E+00,0.04,0.2
2.10E+00,0.04,0.2
2.10E+00,0.04,0.12
2.10E+00,0.12,0.2
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.2
2.10E+00,0.12,0.12
2.10E+00,0.04,0.2
2.10E+00,0.04,0.2
2.10E+00,0.12,0.2
2.10E+00,0.04,0.2
2.10E+00,0.04,0.12
2.10E+00,0.04,0.2
2.10E+00,0.04,0.2
2.10E+00,0.12,0.12
2.10E+00,0.12,0.12
2.10E+00,0.12,0.2
2.10E+00,0.04,0.2
2.10E+00,0.04,0.2
2.10E+00,0.04,0.12
2.10E+00,0.12,0.12
2.10E+00,0.12,0.2
2.10E+00,0.04,0.2
2.10E+00,0.12,0.2
2.10E+00,0.04,0.2
2.10E+00,0.12,0.2
2.10E+00,0.04,0.12
2.10E+00,0.12,0.2
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.04,0.12
2.10E+00,0.12,0.2
2.10E+00,0.12,0.12
2.10E+00,0.12,0.12
2.10E+00,0.12,0.12
2.11E+00,0.04,0.2
2.11E+00,0.12,0.12
2.11E+00,0.04,0.12
2.11E+00,0.04,0.2
2.11E+00,0.04,0.12
2.11E+00,0.04,0.2
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.04,0.12
2.11E+00,0.04,0.2
2.11E+00,0.04,0.12
2.11E+00,0.04,0.2
2.11E+00,0.04,0.12
2.11E+00,0.12,0.2
2.11E+00,0.12,0.2
2.11E+00,0.04,0.12
2.11E+00,0.04,0.12
2.11E+00,0.04,0.12
2.11E+00,0.12,0.2
2.11E+00,0.12,0.12
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.04,0.2
2.11E+00,0.12,0.2
2.11E+00,0.12,0.2
2.11E+00,0.04,0.12
2.11E+00,0.04,0.2
2.11E+00,0.12,0.2
2.11E+00,0.04,0.12
2.11E+00,0.04,0.12
2.11E+00,0.04,0.12
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.12,0.2
2.11E+00,0.12,0.2
2.11E+00,0.04,0.2
2.11E+00,0.04,0.2
2.11E+00,0.04,0.12
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.04,0.2
2.11E+00,0.12,0.12
2.11E+00,0.04,0.2
2.11E+00,0.12,0.2
2.11E+00,0.04,0.2
2.11E+00,0.12,0.2
2.11E+00,0.04,0.2
2.11E+00,0.12,0.2
2.11E+00,0.12,0.12
2.11E+00,0.04,0.12
2.11E+00,0.12,0.2
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.04,0.12
2.11E+00,0.04,0.2
2.11E+00,0.12,0.12
2.11E+00,0.12,0.2
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.12,0.12
2.11E+00,0.04,0.2
2.11E+00,0.04,0.2
2.11E+00,0.12,0.12
2.11E+00,0.04,0.2
2.11E+00,0.04,0.2
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.12,0.2
2.11E+00,0.04,0.2
2.11E+00,0.04,0.12
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.04,0.12
2.11E+00,0.04,0.12
2.11E+00,0.04,0.2
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.12,0.2
2.11E+00,0.12,0.12
2.11E+00,0.12,0.12
2.11E+00,0.04,0.12
2.11E+00,0.12,0.12
2.11E+00,0.04,0.12
2.11E+00,0.04,0.2
2.11E+00,0.04,0.2
2.11E+00,0.04,0.2
2.11E+00,0.12,0.12
2.11E+00,0.04,0.2
2.11E+00,0.12,0.12
2.11E+00,0.04,0.2
2.11E+00,0.04,0.12
2.11E+00,0.04,0.12
2.11E+00,0.04,0.2
2.11E+00,0.12,0.12
2.11E+00,0.04,0.2
2.11E+00,0.12,0.2
2.11E+00,0.04,0.2
2.11E+00,0.04,0.2
2.11E+00,0.12,0.2
2.11E+00,0.12,0.12
2.11E+00,0.12,0.12
2.11E+00,0.04,0.12
