TIME,CH2,CH2 Peak Detect
-1.92E-04,-4.47E-11,-0.004
-1.91E-04,-4.47E-11,0.006
-1.90E-04,-4.47E-11,-0.004
-1.90E-04,0.002,0.008
-1.89E-04,-0.002,-0.002
-1.88E-04,0.004,0.006
-1.87E-04,-4.47E-11,-0.004
-1.87E-04,-4.47E-11,0.006
-1.86E-04,-4.47E-11,-0.004
-1.85E-04,0.002,0.006
-1.84E-04,0.002,-0.002
-1.84E-04,-4.47E-11,0.008
-1.83E-04,0.004,-0.004
-1.82E-04,0.004,0.006
-1.81E-04,0.004,-0.002
-1.80E-04,0.002,0.006
-1.80E-04,-4.47E-11,-0.004
-1.79E-04,-4.47E-11,0.006
-1.78E-04,-4.47E-11,-0.002
-1.77E-04,0.002,0.006
-1.77E-04,-4.47E-11,-0.002
-1.76E-04,-4.47E-11,0.006
-1.75E-04,0.004,-0.002
-1.74E-04,-4.47E-11,0.006
-1.74E-04,0.002,-0.002
-1.73E-04,0.004,0.006
-1.72E-04,-0.002,-0.002
-1.71E-04,0.002,0.006
-1.70E-04,0.002,-0.004
-1.70E-04,-4.47E-11,0.008
-1.69E-04,-4.47E-11,-0.002
-1.68E-04,0.004,0.006
-1.67E-04,-4.47E-11,-0.002
-1.67E-04,0.002,0.006
-1.66E-04,0.002,-0.004
-1.65E-04,0.002,0.006
-1.64E-04,-0.002,-0.002
-1.64E-04,0.002,0.006
-1.63E-04,-4.47E-11,-0.002
-1.62E-04,-4.47E-11,0.006
-1.61E-04,0.002,-0.004
-1.61E-04,0.002,0.008
-1.60E-04,0.004,-0.004
-1.59E-04,0.002,0.006
-1.58E-04,0.004,-0.004
-1.57E-04,0.002,0.008
-1.57E-04,0.002,-0.004
-1.56E-04,-4.47E-11,0.006
-1.55E-04,-0.002,-0.004
-1.54E-04,0.002,0.006
-1.54E-04,-4.47E-11,-0.002
-1.53E-04,-4.47E-11,0.006
-1.52E-04,-4.47E-11,-0.002
-1.51E-04,0.002,0.008
-1.51E-04,0.002,-0.004
-1.50E-04,0.002,0.006
-1.49E-04,-4.47E-11,-0.004
-1.48E-04,0.004,0.006
-1.47E-04,0.004,-0.004
-1.47E-04,0.002,0.008
-1.46E-04,-4.47E-11,-0.004
-1.45E-04,-4.47E-11,0.006
-1.44E-04,-0.002,-0.004
-1.44E-04,-4.47E-11,0.006
-1.43E-04,-4.47E-11,-0.004
-1.42E-04,-4.47E-11,0.008
-1.41E-04,-0.002,-0.002
-1.41E-04,-4.47E-11,0.006
-1.40E-04,0.002,-0.002
-1.39E-04,0.002,0.006
-1.38E-04,-0.002,-0.002
-1.37E-04,0.002,0.006
-1.37E-04,-0.002,-0.002
-1.36E-04,-4.47E-11,0.006
-1.35E-04,-4.47E-11,-0.002
-1.34E-04,-4.47E-11,0.006
-1.34E-04,0.002,-0.004
-1.33E-04,0.004,0.006
-1.32E-04,0.002,-0.002
-1.31E-04,0.004,0.006
-1.31E-04,0.002,-0.002
-1.30E-04,0.002,0.006
-1.29E-04,0.002,-0.002
-1.28E-04,-4.47E-11,0.006
-1.27E-04,-4.47E-11,-0.002
-1.27E-04,-4.47E-11,0.008
-1.26E-04,-0.002,-0.004
-1.25E-04,0.002,0.008
-1.24E-04,0.002,-0.004
-1.24E-04,0.002,0.006
-1.23E-04,0.002,-0.002
-1.22E-04,0.004,0.006
-1.21E-04,-0.002,-0.004
-1.21E-04,-4.47E-11,0.006
-1.20E-04,-0.002,-0.004
-1.19E-04,-4.47E-11,0.006
-1.18E-04,-4.47E-11,-0.004
-1.18E-04,0.002,0.006
-1.17E-04,0.004,-0.002
-1.16E-04,0.002,0.006
-1.15E-04,-4.47E-11,-0.002
-1.14E-04,0.002,0.008
-1.14E-04,0.002,-0.004
